"","APMC","Commodity","Year","V1"
"1","Nashik","Raddish",2015,1.82156711324424
"2","Ramtek","Jack Fruit",2015,1.67657799517004
"3","Pune-Pimpri","Coriander",2016,1.65317183341014
"4","Akluj","Coriander",2016,1.59621775808048
"5","Chandrapur","Orange",2016,1.41035486233933
"6","Ramtek","Jambhul",2015,1.37699741599486
"7","Barshi","Custard Apple",2014,1.32297397770386
"8","Vita","Brinjal",2016,1.2458907703016
"9","Junnar (Narayangaon)","Tomato",2016,1.22609935441779
"10","Vita","Ladies Finger",2016,1.19612776789559
"11","Kolhapur-Malkapur","Cucumber",2016,1.18856505591697
"12","Akluj","Shepu",2016,1.18624539823969
"13","Kolhapur-Malkapur","Bitter Gourd",2016,1.17451634841155
"14","Vita","Tomato",2016,1.16187598487944
"15","Barshi","Shevga",2016,1.13775528801464
"16","Vita","Onion",2016,1.13653299141571
"17","Vita","Potato",2016,1.13220073955406
"18","Barshi","Chillies(Red)",2016,1.1300986937704
"19","Kalyan","Coriander",2015,1.11116779900743
"20","Junnar-Otur","Bitter Gourd",2016,1.09994388184574
"21","Kolhapur-Malkapur","Coriander",2016,1.07267706977054
"22","Vita","Green Chilli",2016,1.06593901446929
"23","Pune-Manjri","Goosefoot",2014,1.05314611309979
"24","Ramtek","Spinach",2015,1.0428187991928
"25","Jalna","Pomegranate",2014,1.02408568309776
"26","Ramtek","Coriander",2015,1.01642629551782
"27","Kolhapur","Squash Gourd",2015,1.0148792922272
"28","Ramtek","Mango",2015,1.00237394209292
"29","Ramtek","Cabbage",2015,0.974848074872493
"30","Kolhapur-Malkapur","Snake Gourd",2016,0.969292441626503
"31","Barshi","Capsicum",2015,0.96704292542327
"32","Pune-Manjri","Beet Root",2016,0.942809041582063
"33","Pune","Squash Gourd",2015,0.938102070295811
"34","Ramtek","Cucumber",2016,0.894718302045232
"35","Pune-Manjri","Hemp",2014,0.885760086836652
"36","Narkhed","Orange",2016,0.884321107573896
"37","Pune-Pimpri","Spinach",2016,0.879378171585689
"38","Ramtek","Chavli (Shenga )",2015,0.877840595402396
"39","Narkhed","Orange",2015,0.876814668903586
"40","Ramtek","Ground Nut Pods (Dry)",2015,0.872073225771495
"41","Pune-Manjri","Harbara(Bhaji)",2016,0.870948596339528
"42","Ramtek","Wal Bhaji",2015,0.868956810991968
"43","Phaltan","Green Chilli",2016,0.865654833191859
"44","Pune-Pimpri","Raddish",2016,0.858376504241691
"45","Dondaicha","Cowpea",2016,0.857613748421991
"46","Rahata","Math (Bhaji)",2016,0.848528137423857
"47","Chandrapur","Flower",2016,0.848528137423857
"48","Akluj","Coriander",2014,0.848528137423857
"49","Pathari","Green Gram",2014,0.846539205370124
"50","Ramtek","Onion",2015,0.840991873191296
"51","Nandurbar","Horse Gram",2015,0.83877259089946
"52","Kalyan","Banana",2015,0.832945804204826
"53","Chandrapur","Cabbage",2016,0.818755220321266
"54","Vaijapur","Tamarind",2015,0.809848792128183
"55","Solapur","Methi (Bhaji)",2015,0.808122035641769
"56","Junnar-Otur","Green Chilli",2016,0.807613076365147
"57","Sangamner","Tomato",2014,0.806241541089007
"58","Ramtek","Tomato",2015,0.804815132704253
"59","Kalyan","Banana",2016,0.803275181915136
"60","Barshi","Squash Gourd",2016,0.801288280117825
"61","Kalyan","Orange",2015,0.800521828637737
"62","Aurangabad","Coriander",2015,0.800167707953081
"63","Ramtek","Green Chilli",2015,0.795278832246045
"64","Ramtek","Brinjal",2015,0.792213861610011
"65","Ramtek","Coriander (Dry)",2015,0.792037962041988
"66","Shahapur","Shevga",2016,0.789981342613213
"67","Vai","Coriander",2016,0.788250182306315
"68","Shrirampur","Coriander",2015,0.787295821622217
"69","Khed","Kanda Pat",2016,0.785674201318386
"70","Palus","Green Chilli",2016,0.784018969257895
"71","Shirpur","Chillies(Red)",2016,0.780407126143327
"72","Pandharpur","Tomato",2016,0.775588676671479
"73","Palus","Ghevda",2016,0.76263872735303
"74","Chandrapur","Tomato",2016,0.76149961050859
"75","Akluj","Spinach",2016,0.76149961050859
"76","Akluj","Water Melon",2014,0.756439812432121
"77","Kamthi","Mango",2015,0.754389101863105
"78","Pune-Pimpri","Small Gourd",2016,0.751977889839523
"79","Kolhapur-Malkapur","Cluster Bean",2016,0.751368433992102
"80","Ramtek","Ladies Finger",2015,0.747163731569175
"81","Khed (Shel Pimpalgaon)","Shevga",2016,0.737850554281615
"82","Osmanabad","Tomato",2016,0.736890615896727
"83","Pune-Manjri","Onion",2015,0.735522558750657
"84","Pune-Manjri","Ambat Chuka",2016,0.732273223286285
"85","Solapur","Grapes",2015,0.731502721834309
"86","Manchar","Methi (Bhaji)",2016,0.726748636219507
"87","Sangli-Phale Bhajipalam","Mango",2016,0.724251418873064
"88","Vai","French Bean",2016,0.721838172461267
"89","Kannad","Onion",2015,0.721730112685222
"90","Kamthi","Spinach",2016,0.715599650385614
"91","Kej","Coriander (Dry)",2015,0.71033401567405
"92","Manchar","Coriander",2016,0.709879748955907
"93","Akluj","Math (Bhaji)",2016,0.709716031301627
"94","Ramtek","Lemon",2015,0.708584747210459
"95","Shirur","Chillies(Red)",2015,0.707106781186548
"96","Ramtek","Potato",2015,0.705199016254509
"97","Aurangabad","Papai",2016,0.704758903957546
"98","Manchar","Bitter Gourd",2016,0.702803386353979
"99","Barshi","Coriander",2015,0.702465660593863
"100","Pathari","Bajri",2014,0.701849481698172
"101","Pune-Manjri","Guava",2015,0.698064896281369
"102","Pune","Lemon",2016,0.694921395571446
"103","Karad","Squash Gourd",2015,0.693084833684265
"104","Shrirampur","Mango(Raw)",2015,0.68979635109778
"105","Nashik","Squash Gourd",2015,0.68883193247644
"106","Digras","Sorgum(Jawar)",2014,0.687774118569185
"107","Kolhapur-Malkapur","Capsicum",2016,0.685720676101026
"108","Kolhapur","Orange",2015,0.683534678498253
"109","Junnar-Otur","Capsicum",2016,0.683108822223564
"110","Amarawati-Fruit And Vegetables","Green Chilli",2016,0.682809222151459
"111","Ramtek","Garlic",2015,0.681678062716472
"112","Pune-Manjri","Rajgira",2015,0.681402356240269
"113","Barshi","Water Melon",2016,0.677650864399523
"114","Kolhapur-Malkapur","Tomato",2016,0.676000763705085
"115","Manmad","Flower",2016,0.674965563859886
"116","Khed-Chakan","Tomato",2016,0.673056078101601
"117","Nashik","Mango",2016,0.670920031696129
"118","Nagpur","Lemon",2016,0.668192955621342
"119","Ratanagari","Green-Peas",2015,0.666870820098871
"120","Shrirampur","Math (Bhaji)",2016,0.665512264646162
"121","Junnar-Otur","Ladies Finger",2016,0.66336777895346
"122","Ramtek","Ginger (Fresh)",2015,0.662747911769227
"123","Barshi","Tamarind",2014,0.659114422385407
"124","Nampur","Pomegranate",2016,0.658669504212685
"125","Junnar (Narayangaon)","Coriander",2016,0.658195844513777
"126","Ghoti","Cucumber",2014,0.652914552512361
"127","Mumbai","Chavli (Shenga )",2015,0.652713951864505
"128","Kamthi","Tomato",2016,0.650966397258789
"129","Kolhapur-Malkapur","Cabbage",2016,0.650664592017884
"130","Navapur","Tomato",2016,0.649819889347272
"131","Pune-Manjri","Kardai",2015,0.649245787743412
"132","Solapur","Papai",2016,0.648377804482579
"133","Karad","Tomato",2016,0.647687418003125
"134","Sangli-Phale Bhajipalam","Water Melon",2016,0.645883068437591
"135","Barshi","Matki",2016,0.645656357964616
"136","Amarawati-Fruit And Vegetables","Orange",2016,0.641942970001177
"137","Pune-Moshi","Tomato",2016,0.641191185663806
"138","Islampur","Green Chilli",2016,0.640508177213063
"139","Ahmednagar","Squash Gourd",2016,0.634573253013838
"140","Manchar","Shevga",2016,0.633972384606258
"141","Ahmednagar","Horse Gram",2016,0.630091590173268
"142","Malkapur","Chillies(Red)",2014,0.6295531342177
"143","Kalyan","Small Gourd",2014,0.629447654929065
"144","Nashik-Devlali","Spinach",2016,0.625416880711311
"145","Kalyan","Apple",2016,0.62470769745475
"146","Kalmeshwar","Coriander",2015,0.62429530311445
"147","Khed","Brinjal",2016,0.623219356939357
"148","Chandrapur-Ganjwad","Green Chilli",2016,0.622126017465015
"149","Solapur","Coriander",2015,0.620249170380487
"150","Kamthi","Methi (Bhaji)",2015,0.620075540375411
"151","Osmanabad","Sweet Potato",2015,0.618360124327888
"152","Khed (Shel Pimpalgaon)","Cucumber",2016,0.618357953302584
"153","Ramtek","Chavli (Pala)",2015,0.618262693856379
"154","Ramtek","Bottle Gourd",2015,0.616734151760299
"155","Barshi","Bitter Gourd",2016,0.61622844427896
"156","Palus","Tomato",2016,0.615945895211912
"157","Shrigonda","Onion",2016,0.610930609924405
"158","Pune-Manjri","Kardai",2014,0.610463234139555
"159","Bhivandi","Male Goat",2016,0.610262946417644
"160","Nandurbar","Horse Gram",2016,0.608561650344403
"161","Navapur","Green Chilli",2016,0.608470249298346
"162","Kalmeshwar","Tomato",2014,0.60820978996226
"163","Chandrapur-Ganjwad","Green-Peas",2015,0.606091526731326
"164","Nashik","Sweet Potato",2016,0.606091526731326
"165","Sinner","Cowpea",2015,0.605937569399331
"166","Vaijapur","Black Gram",2014,0.60419452664766
"167","Ramtek","Brinjal",2016,0.603800155425504
"168","Ratanagari","Coriander",2015,0.603700056972446
"169","Barshi","Matki",2014,0.603592542058315
"170","Ahmednagar","Tomato",2016,0.603315489567866
"171","Mumbai","Squash Gourd",2015,0.600688975378291
"172","Ramtek","Coriander",2016,0.599388165187184
"173","Osmanabad","Shevga",2016,0.599328869650488
"174","Khed","Green Chilli",2016,0.598794169068827
"175","Amarawati-Fruit And Vegetables","Spinach",2016,0.596876788462015
"176","Nagpur","Coriander",2015,0.596583577771946
"177","Manchar","Ladies Finger",2015,0.596548845071817
"178","Kalyan","Shewanti",2016,0.596540445195376
"179","Junnar-Otur","Ghosali(Bhaji)",2016,0.595213473720028
"180","Khed-Chakan","Sweet Potato",2016,0.595078835795535
"181","Ramtek","Capsicum",2016,0.594658011063382
"182","Aurangabad","Tomato",2016,0.594595821421479
"183","Kolhapur","Tomato",2016,0.593861870564517
"184","Junnar-Otur","Farshi",2016,0.587842651418847
"185","Aurangabad","Mango(Raw)",2015,0.587806451884598
"186","Barshi","Capsicum",2016,0.584859474605981
"187","Rahata","Bitter Gourd",2016,0.584307748836119
"188","Solapur","Tomato",2016,0.582613864624492
"189","Satara","Tomato",2016,0.581884844152769
"190","Barshi","Ghevda",2016,0.581790243564139
"191","Amarawati-Fruit And Vegetables","Capsicum",2016,0.58152051663993
"192","Solapur","Papai",2015,0.579948500215467
"193","Ramtek","Lemon",2016,0.579100629055504
"194","Ratanagari","Tomato",2016,0.578768281663229
"195","Ramtek","Tomato",2016,0.576815702921683
"196","Pune-Moshi","Green Chilli",2016,0.57649301808385
"197","Kalmeshwar","Coriander",2016,0.576279459856383
"198","Rahuri","Flower",2016,0.575769950561059
"199","Kalmeshwar","Tomato",2016,0.575693944077481
"200","Barshi","Tomato",2016,0.574275932426282
"201","Rahata","Shevga",2016,0.574040212342835
"202","Manchar","Flower",2014,0.571792974213396
"203","Vai","Tomato",2016,0.570573598236269
"204","Amarawati","Spinach",2016,0.570238989798315
"205","Junnar-Otur","Carrot",2016,0.568974362539716
"206","Pune-Manjri","Ghosali(Bhaji)",2015,0.568948619037668
"207","Akluj","Carrot",2015,0.568250612476943
"208","Chandrapur","Maize(Corn.)",2016,0.567727090763491
"209","Ramtek","Spinach",2016,0.567488748986389
"210","Barshi","Lemon",2015,0.566891973429088
"211","Pune","Tomato",2016,0.566627941307627
"212","Mangalwedha","Tomato",2016,0.566296216480386
"213","Kamthi","Green Chilli",2014,0.566034943912123
"214","Nagpur","Maize(Corn.)",2016,0.564219918666986
"215","Pune-Pimpri","Potato",2015,0.562955637107919
"216","Nashik","Coriander",2015,0.560784375545802
"217","Chalisgaon","Tomato",2016,0.558247794183796
"218","Pune-Manjri","Cabbage",2015,0.55716887614284
"219","Rahuri","Cucumber",2016,0.557007655972637
"220","Nagpur","Spinach",2015,0.555761793589067
"221","Nashik","Tomato",2016,0.554754567923441
"222","Nashik","Methi (Bhaji)",2015,0.554605957710363
"223","Kalyan","Chillies(Red)",2016,0.554581889600136
"224","Kamthi","Zendu",2014,0.553555466764192
"225","Nashik-Devlali","Shepu",2016,0.553104611945932
"226","Rahata","Cucumber",2016,0.552495320575616
"227","Nashik","Cabbage",2016,0.55196592548524
"228","Manchar","Squash Gourd",2016,0.551903154519374
"229","Kalyan","Lemon",2015,0.551587010275085
"230","Pune-Manjri","Tomato",2016,0.55092036742732
"231","Kolhapur","Wal Papdi",2015,0.550798966397942
"232","Pune-Manjri","Coriander",2015,0.55074862790264
"233","Katol","Orange",2015,0.550089137589705
"234","Rahuri","Bitter Gourd",2016,0.549063016580762
"235","Buldhana-Dhad","Green Gram",2016,0.547076552079344
"236","Patan","Tomato",2015,0.545819131281243
"237","Pune-Manjri","Ambat Chuka",2015,0.545448973143693
"238","Rahata","Cucumber",2014,0.545067785759662
"239","Navapur","Coriander",2016,0.544712412973636
"240","Kamthi","Spinach",2015,0.544557490154972
"241","Kalyan","Coriander",2016,0.543928293220421
"242","Nashik","Carrot",2014,0.543472887272337
"243","Vaduj","Ghevda Seed",2016,0.543438494979857
"244","Barshi","Mango",2016,0.543115257633154
"245","Ramtek","Cabbage",2016,0.543071987615051
"246","Mumbai-Fruit Market","Mango",2016,0.541320289186599
"247","Nashik","Carrot",2015,0.540943261684428
"248","Kamthi","Raddish",2016,0.539904252704313
"249","Amarawati","Flower",2016,0.539767596569305
"250","Kolhapur","Coriander",2016,0.539457028023829
"251","Manchar","Cabbage",2016,0.539439000902809
"252","Rahuri","Melon",2016,0.538829461940549
"253","Kalyan","Tomato",2016,0.537360743415261
"254","Patan","Cucumber",2015,0.536916154531663
"255","Kolhapur","Raddish",2015,0.536484505105498
"256","Pune-Manjri","Green-Peas",2015,0.535974983552758
"257","Digras","Wheat(Husked)",2014,0.534895851095097
"258","Khed (Shel Pimpalgaon)","Cucumber",2015,0.534780245717497
"259","Nagpur","Spinach",2016,0.534446401495307
"260","Barshi","Coriander",2016,0.534266176901681
"261","Khed (Shel Pimpalgaon)","Coriander",2014,0.533783982245618
"262","Khed","Cabbage",2016,0.533155938841173
"263","Barshi","Brinjal",2016,0.532836357408415
"264","Barshi","Lemon",2016,0.53283458353578
"265","Aurangabad","Lemon",2014,0.532380176001332
"266","Kalmeshwar","Spinach",2016,0.531529304166992
"267","Khed","Farshi",2016,0.530863412112343
"268","Pune","Mango(Raw)",2015,0.530052141989665
"269","Junnar (Narayangaon)","Tomato",2015,0.529629909478264
"270","Navapur","Onion",2016,0.52946088409338
"271","Chandrapur-Ganjwad","Coriander",2015,0.528760005549261
"272","Aurangabad","Fig",2014,0.528553373365757
"273","Junnar-Otur","Cabbage",2016,0.528460398128386
"274","Junnar-Otur","Beet Root",2016,0.528230904260456
"275","Sangli-Phale Bhajipalam","Bor",2016,0.527356354558623
"276","Kurdwadi","Lemon",2015,0.526863876178212
"277","Nagpur","Lemon",2015,0.526310089546178
"278","Kolhapur-Malkapur","Ladies Finger",2016,0.525788576320583
"279","Khed (Shel Pimpalgaon)","Green Chilli",2016,0.524334048201303
"280","Kalyan","Ladies Finger",2014,0.524206075806756
"281","Kamthi","Ladies Finger",2014,0.523951474688316
"282","Manchar","Small Gourd",2015,0.523057333549714
"283","Khed (Shel Pimpalgaon)","Farshi",2014,0.522743067799686
"284","Solapur","Mosambi",2016,0.521026049295351
"285","Akluj","Math (Bhaji)",2015,0.521026049295351
"286","Pune-Manjri","Coriander",2016,0.520783637488159
"287","Aurangabad","Math (Bhaji)",2015,0.519036918758144
"288","Kalmeshwar","Ladies Finger",2014,0.518939790999437
"289","Kalyan","Bitter Gourd",2014,0.518781859564
"290","Aurangabad","Papai",2015,0.518239988301401
"291","Kalmeshwar","Methi (Bhaji)",2015,0.517763810066509
"292","Devala","Fenugreek",2015,0.517256165639113
"293","Barshi","Methi (Bhaji)",2015,0.515934200865684
"294","Pune-Manjri","Rajgira",2016,0.515912583176482
"295","Rahata","Sweet Potato",2015,0.515002963280962
"296","Osmanabad","Squash Gourd",2016,0.514408290952838
"297","Pune-Manjri","Shepu",2016,0.513233238911557
"298","Nashik","Squash Gourd",2016,0.511824322730161
"299","Kolhapur","Coriander",2015,0.51177119063743
"300","Rahata","Tomato",2016,0.510742684057993
"301","Bhiwapur","Chillies(Red)",2015,0.510368527064068
"302","Kolhapur","Orange",2016,0.510304874187718
"303","Manchar","Cucumber",2016,0.510057986741972
"304","Nashik-Devlali","Coriander",2016,0.509961283722511
"305","Satara","Cucumber",2016,0.509640828158546
"306","Indapur-Bhigwan","Matki",2015,0.509175077217316
"307","Pune-Moshi","Methi (Bhaji)",2016,0.509116882454314
"308","Ghoti","Cucumber",2016,0.50903009487269
"309","Mumbai","Capsicum",2016,0.508102163067421
"310","Sindkhed Raja","Pigeon Pea (Tur)",2016,0.507435439577607
"311","Ahmednagar","Green Chilli",2016,0.507370568531578
"312","Pandharpur","Green Chilli",2016,0.506464262895621
"313","Kolhapur-Malkapur","Flower",2016,0.505820538302311
"314","Chandrapur-Ganjwad","Tomato",2016,0.505571223313518
"315","Barshi","Green Chilli",2016,0.50527999372856
"316","Nira-Saswad","Ghevda Seed",2016,0.505011941980959
"317","Shrirampur","Squash Gourd",2016,0.504915352223875
"318","Ghoti","Bitter Gourd",2015,0.504754464934963
"319","Nashik-Devlali","Methi (Bhaji)",2016,0.504627771195623
"320","Pandharpur","Tomato",2015,0.504380731033117
"321","Islampur","Bitter Gourd",2016,0.50349131049621
"322","Chandvad","Zendu",2016,0.503174101974174
"323","Vai","Tomato",2015,0.502443581296295
"324","Panvel","Ghevda",2016,0.502401221604626
"325","Ratanagari","Sweet Potato",2014,0.501843728905791
"326","Ratanagari","Snake Gourd",2015,0.501809112473226
"327","Rahata","Green Chilli",2016,0.501586574041213
"328","Barshi","Flower",2015,0.500777481716483
"329","Koregaon","Onion",2016,0.499738244834397
"330","Kamthi","Brinjal",2016,0.499423686557673
"331","Amarawati","Amba Koy",2016,0.499374608885954
"332","Mumbai","Tomato",2016,0.499272242279005
"333","Junnar-Otur","Small Gourd",2016,0.498904697304625
"334","Nagpur","Math (Bhaji)",2015,0.497971912631772
"335","Nashik","Coriander",2014,0.497248589628462
"336","Kolhapur","Chavli (Shenga )",2015,0.497114384462224
"337","Dhule","Brinjal",2016,0.496885846239196
"338","Ahmednagar","Cucumber",2016,0.496828430006323
"339","Varud-Rajura Bazar","Green Chilli",2016,0.495769458243375
"340","Akluj","Banana",2016,0.495635082656611
"341","Manchar","Shepu",2015,0.495305372836565
"342","Jalgaon","Methi (Bhaji)",2015,0.494383867190663
"343","Nashik","Wal Papdi",2016,0.493996548458243
"344","Kannad","Pigeon Pea (Tur)",2015,0.4939276309623
"345","Manchar","Shepu",2016,0.493769153356359
"346","Nashik-Devlali","Kanda Pat",2016,0.493415460809631
"347","Rahata","Bottle Gourd",2016,0.493095653143783
"348","Nashik","Raddish",2016,0.492670555782057
"349","Manchar","Bottle Gourd",2014,0.490645521639645
"350","Patan","Green Chilli",2015,0.49053211881201
"351","Ramtek","Guava",2015,0.490074006762954
"352","Mumbai","Tamarind",2016,0.489459908403547
"353","Pune-Moshi","Squash Gourd",2016,0.488475213110266
"354","Junnar-Otur","Bottle Gourd",2016,0.488022751389579
"355","Nashik","Green Chilli",2016,0.487532321329541
"356","Mumbai","Squash Gourd",2016,0.48705252119496
"357","Kolhapur","Squash Gourd",2016,0.486334497444991
"358","Karad","Pavata",2014,0.486326123860715
"359","Kamthi","Kanda Pat",2016,0.485687531981136
"360","Rahuri","Cabbage",2016,0.485589175619434
"361","Nashik-Devlali","Raddish",2016,0.48555879495646
"362","Vai","Tomato",2014,0.484873520742085
"363","Chandrapur-Ganjwad","Wal Bhaji",2014,0.484750654847805
"364","Pune-Manjri","Green-Peas",2014,0.484423748062591
"365","Sangli-Phale Bhajipalam","Pineapple",2015,0.483978300670691
"366","Barshi","Shepu",2016,0.483912134276502
"367","Kamthi","Coriander",2015,0.483824681596287
"368","Akluj","Onion",2016,0.483075962581429
"369","Junnar (Narayangaon)","Math (Bhaji)",2016,0.483022470885342
"370","Mangalwedha","Bitter Gourd",2016,0.482946186042586
"371","Akluj","Garlic",2015,0.48220558939145
"372","Amarawati","Coriander",2016,0.481697240179155
"373","Amarawati","Carrot",2015,0.480902229689282
"374","Aurangabad","Math (Bhaji)",2014,0.48083257270945
"375","Mumbai","Green Chilli",2016,0.479029606668331
"376","Khed (Shel Pimpalgaon)","Flower",2014,0.479021045937156
"377","Amarawati","Spinach",2015,0.478454251497061
"378","Patan","Cabbage",2016,0.478031956386013
"379","Rahuri","Orange",2016,0.477409673922128
"380","Kalyan","Bor",2015,0.476902670100514
"381","Solapur","Grapes",2016,0.476677845832469
"382","Pune-Manjri","Cucumber",2016,0.475998047522232
"383","Junnar-Otur","Ghevda",2016,0.475642417394395
"384","Varud-Rajura Bazar","Green Chilli",2014,0.475174768584871
"385","Kalmeshwar","Flower",2014,0.474983683073307
"386","Kamthi","Tomato",2015,0.474909965508414
"387","Amarawati","Orange",2016,0.474828463366929
"388","Junnar-Otur","Walvad",2016,0.474141573373035
"389","Pathari","Wheat(Husked)",2014,0.473964947929896
"390","Kalyan","Gulchadi",2016,0.473922034920757
"391","Barshi","Ladies Finger",2016,0.473197586587285
"392","Kamthi","Mosambi",2016,0.472780064827296
"393","Pune-Pimpri","Tomato",2016,0.472711114016025
"394","Satara","Tomato",2015,0.47259494982446
"395","Ahmednagar","Bitter Gourd",2016,0.471901142559857
"396","Vadgaon Peth","Spinach",2016,0.471404520791032
"397","Rahata","Math (Bhaji)",2015,0.471404520791032
"398","Kolhapur","Green-Peas",2016,0.471404520791032
"399","Ramtek","Zendu",2015,0.471404520791032
"400","Kurdwadi","Lemon",2014,0.471404520791032
"401","Khamgaon","Male Lamb",2016,0.471404520791032
"402","Pune-Moshi","Parwar",2016,0.471404520791032
"403","Kamthi","Cabbage",2016,0.471370632431249
"404","Khed (Shel Pimpalgaon)","Brinjal",2015,0.471251860301583
"405","Murbad","Ladies Finger",2016,0.470693802031346
"406","Amarawati-Fruit And Vegetables","Carrot",2016,0.470091167908223
"407","Kolhapur","Tomato",2015,0.470080918573954
"408","Pathari","Soybean",2015,0.469678545064796
"409","Kamthi","Squash Gourd",2016,0.468857125263096
"410","Aurangabad","Spinach",2016,0.468841750655163
"411","Akluj","Tomato",2015,0.46879487315649
"412","Pathari","Gram",2015,0.468440340390101
"413","Baramati","Onion",2016,0.468164730068147
"414","Kalmeshwar","Brinjal",2016,0.467936289428867
"415","Kolhapur-Laxmipuri","Spilt Pigeon Pea",2015,0.467846995320402
"416","Nagpur","Tomato",2016,0.467829402795639
"417","Chandrapur-Ganjwad","Math (Bhaji)",2015,0.467068740243137
"418","Shrirampur","Shevga",2016,0.46681016264398
"419","Ahmednagar","Potato",2015,0.466333325909466
"420","Jalgaon","Shevga",2016,0.465603070224232
"421","Aurangabad","Green Chilli",2016,0.46544054181891
"422","Osmanabad","Flower",2016,0.464726919117145
"423","Solapur","Banana",2016,0.464643978880736
"424","Rahata","Flower",2016,0.463747995515829
"425","Murbad","Ghevda",2016,0.463537340528213
"426","Palus","Cabbage",2016,0.463478820322223
"427","Nashik","Tomato",2014,0.462918107217548
"428","Jalgaon","Coriander",2015,0.462757618796559
"429","Nashik","Bitter Gourd",2016,0.462621106832959
"430","Kalmeshwar","Brinjal",2014,0.461907547262818
"431","Nashik","Cabbage",2014,0.461629374109078
"432","Barshi","Methi (Bhaji)",2016,0.460727253887654
"433","Kalyan","Green-Peas",2016,0.460409014420931
"434","Jalgaon","Methi (Bhaji)",2016,0.460057955197788
"435","Kalyan","Green Chilli",2016,0.459980862995228
"436","Pune-Manjri","Shepu",2015,0.45965459688356
"437","Satara","Green Chilli",2016,0.459292166159558
"438","Aurangabad","Mango",2016,0.459250654192669
"439","Panvel","Ridge Gourd",2016,0.459017862909797
"440","Manchar","Tandulja",2015,0.458833733569938
"441","Barshi","Spinach",2016,0.458569203376889
"442","Nampur","Horse Gram",2016,0.458178682329333
"443","Amalner","Black Gram",2016,0.457672872184299
"444","Kalmeshwar","Flower",2015,0.457468032342967
"445","Nashik","Green-Peas",2016,0.457229321869261
"446","Solapur","Green Chilli",2016,0.457208194750244
"447","Kalmeshwar","Spinach",2015,0.457022077137141
"448","Phaltan","Bitter Gourd",2016,0.456557134309424
"449","Ramtek","Flower",2015,0.456317090685947
"450","Islampur","Cabbage",2016,0.456260774730661
"451","Junnar-Otur","Flower",2016,0.456214484899379
"452","Mumbai","Shevga",2016,0.456017632789364
"453","Ahmednagar","Carrot",2016,0.455901712549518
"454","Khed (Shel Pimpalgaon)","Flower",2016,0.455833815070001
"455","Panvel","Cluster Bean",2016,0.454603545474326
"456","Akluj","Onion",2015,0.454316689445815
"457","Pandharpur","Banana",2016,0.454126364249479
"458","Pathari","Green Gram",2015,0.453512710189659
"459","Shirpur","Chillies(Red)",2015,0.453355634906192
"460","Junnar-Otur","Brinjal",2016,0.4528780687332
"461","Nandurbar","Chillies(Red)",2016,0.452873219580094
"462","Hanegaon","Soybean",2016,0.452392789430073
"463","Palus","Brinjal",2016,0.452349966915517
"464","Pune-Pimpri","Onion",2015,0.452342663884572
"465","Mangalwedha","Green Chilli",2016,0.451653312876818
"466","Kolhapur","Banana",2016,0.451437485866201
"467","Kamthi","Green Peas (Dry)",2014,0.450252103297459
"468","Kolhapur","Green Chilli",2016,0.450246256727761
"469","Sangamner","Flower",2014,0.449977042573258
"470","Aurangabad","Shevga",2016,0.449431975105129
"471","Kolhapur","Guava",2015,0.449368693341497
"472","Kamthi","Green Chilli",2016,0.449366197082106
"473","Nashik","Capsicum",2016,0.449242517052286
"474","Panvel","Bottle Gourd",2015,0.448707512478639
"475","Aurangabad","Mango",2015,0.448172167985843
"476","Shrirampur","Papai",2016,0.447991737254496
"477","Pune-Manjri","Onion",2016,0.447846238373831
"478","Palus","Capsicum",2016,0.447718640777559
"479","Kamthi","Mango",2016,0.44753131835061
"480","Pune-Moshi","Mango(Raw)",2016,0.447348202925131
"481","Nagpur","Wal Bhaji",2016,0.447155716941384
"482","Junnar-Otur","Cucumber",2016,0.446340997395734
"483","Pune","Green Chilli",2016,0.445993855680335
"484","Aurangabad","Garlic",2015,0.445418212101727
"485","Jalgaon","Papai",2016,0.444771267943179
"486","Shrirampur","Bitter Gourd",2016,0.444627188382161
"487","Kamthi","Guava",2014,0.444172439257033
"488","Khed-Chakan","Math (Bhaji)",2016,0.444107907957103
"489","Barshi","Water Melon",2015,0.443977961949999
"490","Manchar","Bottle Gourd",2015,0.443355286870096
"491","Indapur","Pigeon Pea (Tur)",2015,0.443082905464348
"492","Kolhapur","Apple",2015,0.442878093362425
"493","Kalmeshwar","Spinach",2014,0.442377581887458
"494","Rahuri","Papai",2015,0.441787482835574
"495","Chandrapur","Bor",2015,0.440991325901288
"496","Kamthi","Coriander",2016,0.440682242608448
"497","Kurdwadi","Onion",2015,0.440664279029881
"498","Pune-Moshi","Cabbage",2016,0.440618333389762
"499","Khed-Chakan","Cabbage",2016,0.440593287967856
"500","Shrirampur","Cabbage",2014,0.440452091215189
"501","Kej","Coriander (Dry)",2016,0.440380094107347
"502","Amarawati","Sunflower",2015,0.440277149134002
"503","Pune-Pimpri","Carrot",2016,0.440233989811887
"504","Pune-Moshi","Shepu",2016,0.43985155195259
"505","Ramtek","Green Chilli",2016,0.439833821379789
"506","Nashik","Methi (Bhaji)",2016,0.439815839473132
"507","Kamthi","Raddish",2015,0.439750462882122
"508","Pandharpur","Cabbage",2016,0.439745208736309
"509","Chalisgaon","Cabbage",2016,0.439671411867116
"510","Aurangabad","Lemon",2015,0.43938290073322
"511","Nashik","Ghosali(Bhaji)",2016,0.439281081387098
