"","APMC","Commodity","Year","V1"
"5319","Ausa","Tamarind",2016,0.0866494194727849
"5320","Nandurbar","Nagali",2015,0.0866251442805393
"5321","Kada","Maize",2014,0.0866085424859401
"5322","Balapur","Sesamum",2015,0.0866025403784439
"5323","Taloda","Black Gram",2015,0.0865991445193908
"5324","Jawala-Bajar","Soybean",2016,0.086587529772745
"5325","Dhule","Green Gram",2015,0.0865188589328255
"5326","Akkolkot","Wheat(Husked)",2015,0.0865063436746508
"5327","Malkapur","Black Gram",2014,0.0865010289781406
"5328","Shahada","Bajri",2014,0.0864747755189065
"5329","Bhokardan-Pimpalgaon Renu","Green Gram",2016,0.086402928163294
"5330","Mehkar","Green Gram",2015,0.0863912065259723
"5331","Kopargaon","Bajri",2016,0.0863904685038222
"5332","Sengaon","Black Gram",2015,0.0863831731884145
"5333","Sengaon","Green Gram",2015,0.086378770246394
"5334","Sonpeth","Pigeon Pea (Tur)",2014,0.086367619085996
"5335","Chikhali","Soybean",2016,0.0863594178072414
"5336","Kej","Castor Seed",2016,0.0863419994583693
"5337","Kannad","Sorgum(Jawar)",2015,0.0862727787475207
"5338","Hingoli","Wheat(Husked)",2015,0.0862619199126776
"5339","Basmat","Sorgum(Jawar)",2016,0.0862500647306084
"5340","Vaijapur","Maize",2014,0.0862460054800582
"5341","Jalgaon","Bajri",2016,0.0861684545712227
"5342","Ramtek","Other Pulses",2016,0.0860984940822998
"5343","Telhara","Green Gram",2014,0.086050241725498
"5344","Armori","Paddy-Unhusked",2016,0.0860258563182809
"5345","Malegaon","Sorgum(Jawar)",2016,0.0860040872959494
"5346","Karanja","Sorgum(Jawar)",2015,0.0859555938906547
"5347","Aurangabad","Awala",2014,0.0858993785922453
"5348","Umarga","Wheat(Unhusked)",2016,0.0858679020409272
"5349","Lasalgaon","Soybean",2016,0.0858456437677006
"5350","Chopda","Green Gram",2014,0.0858169766429052
"5351","Umared","Coriander (Dry)",2016,0.0858125142179298
"5352","Jalkot","Black Gram",2016,0.0857904491344124
"5353","Sillod-Bharadi","Mustard",2016,0.0857787571160805
"5354","Ulhasnagar","Bajri",2016,0.0856584657370729
"5355","Manora","Soybean",2016,0.0856513393703048
